2022-09-16 12:09:537 INFO  DesktopPage :28 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (97bf723bd7a181d647c00082eb01fa07)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (97bf723bd7a181d647c00082eb01fa07)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (97bf723bd7a181d647c00082eb01fa07)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-16 12:09:327 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-16 12:09:73 INFO  DesktopPage :28 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (a07931229f556aa56224c2c54a8c0347)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (a07931229f556aa56224c2c54a8c0347)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (a07931229f556aa56224c2c54a8c0347)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-16 12:09:733 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-16 12:09:30 INFO  DesktopPage :28 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (0b5df4bea2fa50998468a451f8f56a34)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (0b5df4bea2fa50998468a451f8f56a34)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (0b5df4bea2fa50998468a451f8f56a34)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-16 12:09:184 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-16 12:09:405 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-16 12:09:497 INFO  ManageDriver :32 - Launching Chrome Browser
2022-09-16 12:09:647 INFO  DesktopPage :28 - Click on product 'Build your own computer' : [[[ChromeDriver: chrome on WINDOWS (c4ec808ec66f5005951b805eb257658a)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (c4ec808ec66f5005951b805eb257658a)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (c4ec808ec66f5005951b805eb257658a)] -> xpath: //div[@class='products-container']//h2/a]]
2022-09-16 12:09:946 INFO  ManageDriver :32 - Launching Chrome Browser
